9/13/2016,10:00 AM,SH Post,,20160811_100_20X_SH
9/13/2016,10:20 AM,XZ Post,,20160830_100_20X_XZ
9/13/2016,10:55 AM,XZ Post,,20160830_101_20X_XZ
9/13/2016,11:30 AM,lunch,,
9/13/2016,12:00 PM,XZ Post,,20160830_100_20X_XZ
9/13/2016,12:30 PM,XZ Post,,20160830_101_20X_XZ
9/13/2016,1:00 PM,SH Post,rename files,20160811_100_20X_SH
9/13/2016,1:40 PM,XZ Prep,,20160830_102_20X_XZ
9/13/2016,2:00 PM,classes & training,Balancing Act,
9/13/2016,3:00 PM,XZ Setup,,20160830_102_20X_XZ
9/13/2016,5:00 PM,depart,,
9/14/2016,9:30 AM,PTR Chores,email; calendar,
9/14/2016,10:30 AM,GI Meeting,imaging quality control,
9/14/2016,11:00 AM,XZ Post,extra QC time,20160830_102_20X_XZ
9/14/2016,12:30 PM,lunch,,
9/14/2016,1:00 PM,Group Meeting,PTR-IHC meeting,
9/14/2016,2:00 PM,Nitabach,DAMFileScan,
9/14/2016,3:15 PM,lunch,fitness,
9/14/2016,4:30 PM,GI Meeting,QC,
9/14/2016,5:30 PM,depart,,
9/15/2016,10:05 AM,PTR Chores,email; calendar,
9/15/2016,10:10 AM,Nitabach,DAMFileScan,
9/15/2016,11:36 AM,lunch,,
9/15/2016,12:10 PM,Reiser,box analysis,
9/15/2016,12:25 PM,GI Meeting,QC,
9/15/2016,12:41 PM,GI Setup,cross over imaging test,
9/15/2016,3:00 PM,Reiser,box analysis,
9/15/2016,3:20 PM,SH Prep,,20160819_100_20X_SH
9/15/2016,4:00 PM,Nitabach,DAMFileScan,
9/15/2016,4:30 PM,Other Imaging,projects 48 & 44,
9/15/2016,5:00 PM,PTR Chores,chargebacks,
9/15/2016,5:30 PM,lunch,,
9/15/2016,6:00 PM,SH Setup,,20160819_100_20X_SH
9/15/2016,7:30 PM,depart,,
9/16/2016,8:00 AM,SH Post,,20160819_100_20X_SH
9/16/2016,9:16 AM,PTR Chores,email; calendar,
9/16/2016,9:30 AM,Other Imaging,scheduler,
9/16/2016,9:50 AM,Nitabach,SCAMP,
9/16/2016,10:45 AM,GI Meeting,"XZ, science bite",
9/16/2016,11:30 AM,lunch,,
9/16/2016,12:00 PM,Reiser,experiment,
9/16/2016,1:10 PM,Nitabach,SCAMP,
9/16/2016,1:45 PM,Reiser,experiment,
9/16/2016,2:10 PM,Nitabach,SCAMP,
9/16/2016,2:30 PM,GI Meeting,710 objective issues,
9/16/2016,3:30 PM,Group Meeting,All Hands,
9/16/2016,5:00 PM,Other Imaging,scheduler,
9/16/2016,5:25 PM,XZ Prep,,20160830_102_20X_XZ_2
