10/14/2016,4:41 PM,GI Meeting,,,1,2,
10/14/2016,2:00 PM,Group Meeting,SH,,0.25,0.25,
10/14/2016,11:45 AM,lunch,,,0,0,
10/14/2016,10:15 AM,Nitaback,,,0.5,,
10/14/2016,3:00 PM,Nitaback,,,0.25,,
10/14/2016,3:40 PM,Nitaback,,,0.75,,
10/14/2016,5:35 PM,Nitaback,,,0.25,1.75,
10/14/2016,9:30 AM,PTR Chores,email; calendars,,0.25,0.25,
10/14/2016,12:15 PM,Reiser,experiment,,1.75,,
10/14/2016,2:20 PM,Reiser,experiment,,0.75,,
10/14/2016,3:10 PM,Reiser,experiment,,0.5,,
10/14/2016,4:25 PM,Reiser,,,0.25,3.25,
10/14/2016,7:55 AM,SH Post,,20160915_100_20X_SH-2,1.5,1.5,
10/14/2016,9:40 AM,SH Prep,,20160922_100_20X_SH,0.5,0.5,
10/14/2016,10:05 AM,YD Prep,,YD,0.25,0.25,
10/16/2016,11:20 PM,depart,,,0,0,
10/16/2016,7:45 PM,SH Prep,,20160922_101_20X_SH,0.25,0.25,
10/16/2016,8:00 PM,SH Setup,,20160922_101_20X_SH,3.25,3.25,
10/17/2016,5:00 PM,depart,,,0,0,
10/17/2016,1:00 PM,Group Meeting,team,,1,1,
10/17/2016,11:40 AM,lunch,,,0,0,
10/17/2016,2:45 PM,Nitaback,,,0.5,0.5,
10/17/2016,9:05 AM,Other Imaging,disk space,,1.25,1.25,
10/17/2016,8:10 AM,PTR Chores,email; calendars,,0.25,0.25,
10/17/2016,8:20 AM,Reiser,cross,,0.5,,
10/17/2016,10:15 AM,Reiser,cross,,1.5,,
10/17/2016,12:10 PM,Reiser,analysis,,0.25,,
10/17/2016,2:05 PM,Reiser,cross,,0.75,3,
10/17/2016,8:00 AM,SH Post,,20160922_100_20X_SH,0.25,,
10/17/2016,12:23 PM,SH Post,QC,20160922_101_20X_SH,0.5,0.75,
10/17/2016,8:50 AM,SH Prep,,20160922_101_20X_SH-2,0.25,0.25,
10/17/2016,3:20 PM,SH Setup,,20160922_101_20X_SH-2,1.75,1.75,
10/18/2016,5:00 PM,depart,,,0,0,
10/18/2016,3:10 PM,GI Meeting,,20160922_101_20X_SH-2,0.75,0.75,
10/18/2016,11:30 AM,lunch,,,0,0,
10/18/2016,9:00 AM,Nitaback,,,1,,
10/18/2016,10:15 AM,Nitaback,,,0.5,,
10/18/2016,11:12 AM,Nitaback,,,0.25,1.75,
10/18/2016,8:15 AM,PTR Chores,email; calendars,,0.25,,
10/18/2016,1:40 PM,PTR Chores,chargebacks,,1.5,1.75,
10/18/2016,8:30 AM,Reiser,analysis,,0.5,,
10/18/2016,10:00 AM,Reiser,analysis,,0.25,,
10/18/2016,10:50 AM,Reiser,analysis,,0.25,1,
10/18/2016,3:50 PM,SH Post,stats,,1.25,,
10/18/2016,8:10 AM,SH Post,,20160922_101_20X_SH-2,0,,
10/18/2016,12:15 PM,SH Post,,20160922_101_20X_SH-2,1.5,2.75,
10/19/2016,12:00 PM,classes & training,FlyLight training,,1.25,1.25,
10/19/2016,8:00 PM,depart,,,0,0,
10/19/2016,1:10 PM,GI Meeting,,,0.25,0.25,
10/19/2016,11:20 AM,lunch,,,0,,
10/19/2016,3:15 PM,lunch,,,0,,
10/19/2016,5:45 PM,lunch,,,0,0,
10/19/2016,6:00 PM,Nitaback,,,2,2,
10/19/2016,4:45 PM,Other Imaging,stats pgm improvements,,1,1,
10/19/2016,9:00 AM,PTR Chores,email; calendars,,0.25,0.25,
10/19/2016,1:30 PM,Reiser,sort,,1.25,,
10/19/2016,2:40 PM,Reiser,analysis,,0.25,1.5,
10/19/2016,2:50 PM,SH Post,stats,,0.5,,
10/19/2016,9:20 AM,SH Post,,20160915_101_20X_SH,0.25,0.75,
10/19/2016,10:40 AM,,,20160915_100_20X_SH,0.25,,
10/19/2016,11:00 AM,,,20160915_100_20X_SH-2,0.25,,
10/19/2016,10:00 AM,,,20160922_101_20X_SH,0.25,,
10/19/2016,10:20 AM,,,20160922_101_20X_SH-2,0.25,,
10/19/2016,9:40 AM,,,20160922_102_20X_SH,0.25,1.25,2
10/20/2016,7:40 PM,depart,,,0,0,
10/20/2016,11:454 am,lunch,,,0,0,
10/20/2016,11:10 AM,Nitaback,,,0.5,,
10/20/2016,12:50 PM,Nitaback,,,1.5,,
10/20/2016,3:45 PM,Nitaback,,,0.25,,
10/20/2016,4:15 PM,Nitaback,,,2.25,4.5,
10/20/2016,11:00 AM,PTR Chores,email; calendars,,0.25,0.25,
10/20/2016,3:55 PM,SH Post,stats,,0.25,,
10/20/2016,12:15 PM,SH Post,check criteria used,20160915_100_20X_SH,0,0.25,
10/20/2016,2:15 PM,YD Prep,,20161013_100_20X_YD,0.25,,
10/20/2016,2:25 PM,YD Prep,,20161013_101_20X_YD,0.25,0.5,
10/20/2016,6:30 PM,YD Setup,,20161013_100_20X_YD,1.25,,
10/20/2016,2:35 PM,YD Setup,,20161013_101_20X_YD,1.25,2.5,
10/20/2016,12:20 PM,,,20160915_101_20X_SH-2,0.25,,
10/20/2016,12:30 PM,,,20160922_101_20X_SH,0.25,,
10/20/2016,12:40 PM,,,20160922_102_20X_SH,0.25,0.75,
10/21/2016,5:00 PM,depart,,,0,0,
10/21/2016,9:30 AM,GI Meeting,prep,,0.75,,
10/21/2016,10:40 AM,GI Meeting,,,0.75,,
10/21/2016,3:30 PM,GI Meeting,,,0.5,2,
10/21/2016,11:30 AM,lunch,,,0,0,
10/21/2016,9:20 AM,PTR Chores,email; calendars,,0.25,,
10/21/2016,3:55 PM,PTR Chores,chargebacks,,1,1.25,
10/21/2016,12:10 PM,Reiser,experiment,,0.25,,
10/21/2016,1:00 PM,Reiser,experiment,,1.75,2,
10/21/2016,12:30 PM,SH Post,stats,,0.5,,
10/21/2016,12:00 PM,SH Post,email re: image intensity,20160915_100_20X_SH-2,0.25,0.75,
10/21/2016,3:20 PM,SH Prep,,20160915_100_20X_SH-3,0.25,,
10/21/2016,3:05 PM,SH Prep,,20160922_101_20X_SH-3,0.25,,
10/21/2016,2:50 PM,SH Prep,,20160929_100_20X_SH,0.25,0.75,
10/21/2016,10:30 AM,YD Post,,20161013_100_20X_YD,0.25,,
10/21/2016,10:20 AM,YD Post,,20161013_101_20X-YD,0.25,0.5,
